gid,role,role_score,cluster_id,priority_score,evidence,in_senders,out_receivers,sum_in,sum_out,in_deg,out_deg,in_kzt,out_kzt,in_tx,out_tx,pagerank,pass_through,depth,is_seed,is_cutoff,truncated_by_depth,upstream_couriers
100000004076740100,peripheral,0.2,52,0.09147971619706648,"3 отправителей, 6 получателей",3,6,93250.0,125000.0,3,6,93250.0,125000.0,5,10,0.0007414546780411359,1.3404825737265416,1,False,False,False,0
100000003284932100,terminal,0.17231819413982602,4,0.06743594025171053,"вход 69,925, выход 0",1,0,69925.0,0.0,1,0,69925.0,0.0,1,0,0.000299570826848109,0.0,1,False,False,False,0
100000008071620100,terminal,0.11574459695901822,52,0.04734805136563945,"вход 46,968, выход 0",1,0,46968.0,0.0,1,0,46968.0,0.0,1,0,0.0002943829532292201,0.0,1,False,False,False,0
100000003235780100,terminal,0.16018137460262696,52,0.06937645500695293,"вход 65,000, выход 0",2,0,65000.0,0.0,2,0,65000.0,0.0,2,0,0.00029120007891764556,0.0,1,False,False,False,0
100000005363908100,transit,1.0,57,0.3567377843376201,"пропуск 1.00, связей 2",1,1,19500.0,19500.0,1,1,19500.0,19500.0,1,1,0.00033851712062440693,1.0,1,False,False,False,0
100000001851289100,terminal,0.26986865127282583,22,0.10207370135094491,"вход 109,510, выход 0",1,0,109510.0,0.0,1,0,109510.0,0.0,3,0,0.00029734359625899464,0.0,1,False,False,False,0
100000002870937100,terminal,0.20626432391138275,30,0.07948937360126097,"вход 83,700, выход 0",1,0,83700.0,0.0,1,0,83700.0,0.0,1,0,0.0002903688396007325,0.0,1,False,False,False,0
100000002152857100,peripheral,0.2,30,0.0929472330954585,"1 отправителей, 5 получателей",1,5,105000.0,1230000.0,1,5,105000.0,1230000.0,1,6,0.0002997108402620942,11.714285714285714,1,False,False,False,0
100000002600345100,terminal,0.12913083121811775,22,0.058351172959451275,"вход 52,400, выход 0",2,0,52400.0,0.0,2,0,52400.0,0.0,2,0,0.0002957205308431163,0.0,1,False,False,False,0
100000002580377100,peripheral,0.2,22,0.07678468667777587,"1 отправителей, 1 получателей",1,1,37750.0,5000.0,1,1,37750.0,5000.0,2,1,0.000289628100737922,0.13245033112582782,1,False,False,False,0
100000004094958100,transit,0.8717948717948723,57,0.3123662810941537,"пропуск 1.03, связей 2",1,1,39000.0,40000.0,1,1,39000.0,40000.0,1,1,0.00039146494703152303,1.0256410256410255,1,False,False,False,0
100000002609774100,peripheral,0.2,59,0.07669025663292889,"1 отправителей, 1 получателей",1,1,7700.0,27500.0,1,1,7700.0,27500.0,1,1,0.00028639718322944613,3.5714285714285716,1,False,False,False,0
100000002596035100,terminal,0.5706646294881589,34,0.20887893363015544,"вход 231,570, выход 0",1,0,231570.0,0.0,1,0,231570.0,0.0,1,0,0.0003206915567832726,0.0,1,False,False,False,0
100000004664515100,terminal,0.09288301830996328,52,0.039230468702570166,"вход 37,691, выход 0",1,0,37691.0,0.0,1,0,37691.0,0.0,1,0,0.0002926421016993771,0.0,1,False,False,False,0
100000000661912100,transit,0.5208581402212522,52,0.2238530546962552,"пропуск 1.10, связей 7",5,2,393036.0,430700.0,5,2,393036.0,430700.0,9,8,0.0017491597591117625,1.0958283719557496,1,False,False,False,0
100000004144536100,terminal,0.4140072451267897,55,0.1720037606333554,"вход 168,000, выход 0",4,0,168000.0,0.0,4,0,168000.0,0.0,6,0,0.0009685966718954048,0.0,1,False,False,False,0
100000006177176100,terminal,0.02195963429360014,22,0.01404732447026082,"вход 8,911, выход 0",1,0,8911.0,0.0,1,0,8911.0,0.0,1,0,0.0002865273875922669,0.0,1,False,False,False,0
100000002158488100,terminal,0.07817590379260209,47,0.034008335110547155,"вход 31,723, выход 0",1,0,31723.0,0.0,1,0,31723.0,0.0,1,0,0.00029222758033053823,0.0,1,False,False,False,0
100000000041368100,terminal,0.3942926144064664,4,0.14625358155557658,"вход 160,000, выход 0",1,0,160000.0,0.0,1,0,160000.0,0.0,1,0,0.0003176071236192344,0.0,1,False,False,False,0
100000008722328100,terminal,0.0583479139456369,47,0.0269679050030711,"вход 23,677, выход 0",1,0,23677.0,0.0,1,0,23677.0,0.0,1,0,0.00029053881917720503,0.0,1,False,False,False,0
100000008735384100,terminal,0.09665097710638508,47,0.04056837792881065,"вход 39,220, выход 0",1,0,39220.0,0.0,1,0,39220.0,0.0,1,0,0.00029380111281457236,0.0,1,False,False,False,0
100000004480280100,peripheral,0.2,4,0.08178502645917343,"1 отправителей, 2 получателей",1,2,146694.0,295850.0,1,2,146694.0,295850.0,1,7,0.0003149427776315953,2.0167832358515003,1,False,False,False,0
100000004286573100,terminal,0.04088321545627049,42,0.020766621362543775,"вход 16,590, выход 0",1,0,16590.0,0.0,1,0,16590.0,0.0,1,0,0.0002883224885597272,0.0,1,False,False,False,0
100000001746925100,terminal,0.16079745681263707,4,0.06340774705667457,"вход 65,250, выход 5,000",1,1,65250.0,5000.0,1,1,65250.0,5000.0,1,1,0.000298634721520271,0.07662835249042145,1,False,False,False,0
100000001660397100,transit,0.9588477366255146,78,0.34931741939205124,"пропуск 1.01, связей 5",2,3,48600.0,49000.0,2,3,48600.0,49000.0,2,4,0.0002951523346277189,1.008230452674897,1,False,False,False,0
100000002591469100,terminal,0.5807683777323246,30,0.2124665254075171,"вход 235,670, выход 0",1,0,235670.0,0.0,1,0,235670.0,0.0,1,0,0.000299083139623691,0.0,1,False,False,False,0
100000002731501100,peripheral,0.2,55,0.10631436356025861,"3 отправителей, 7 получателей",3,7,570370.0,833960.0,3,7,570370.0,833960.0,7,20,0.0004855839777590129,1.4621386117783193,1,False,False,False,0
100000000089154100,peripheral,0.2,52,0.08169692510342481,"1 отправителей, 15 получателей",1,15,10000.0,425500.0,1,15,10000.0,425500.0,1,21,0.0002874458184490932,42.55,1,False,False,False,0
100000008732098100,terminal,0.038633283225313585,47,0.019967725925292265,"вход 15,677, выход 0",1,0,15677.0,0.0,1,0,15677.0,0.0,1,0,0.00028885971288505175,0.0,1,False,False,False,0
100000005456919100,terminal,1.0,33,0.36856541062894577,"вход 479,950, выход 5,000",2,1,479950.0,5000.0,2,1,479950.0,5000.0,10,1,0.0013700274780428614,0.010417751849150954,1,False,False,False,0
100000000507799100,peripheral,0.2,77,0.07641424574158014,"1 отправителей, 1 получателей",1,1,5132.0,8000.0,1,1,5132.0,8000.0,1,1,0.0002861210768679897,1.558846453624318,1,False,False,False,0
100000008716439100,terminal,0.03022992188077577,47,0.01698389959338904,"вход 12,267, выход 0",1,0,12267.0,0.0,1,0,12267.0,0.0,1,0,0.00028814399382802143,0.0,1,False,False,False,0
100000002981527100,terminal,0.4140072451267897,50,0.1532537606333554,"вход 168,000, выход 0",1,0,168000.0,0.0,1,0,168000.0,0.0,1,0,0.0003036113749173627,0.0,1,False,False,False,0
100000002844652100,terminal,0.15121121762487985,30,0.059941373526563556,"вход 61,360, выход 0",1,0,61360.0,0.0,1,0,61360.0,0.0,1,0,0.0002890878139870397,0.0,1,False,False,False,0
