cluster_id,n_nodes,n_seed,sum_kzt_internal,top_gids,hypothesis
58,3,0,1557988.0,"100000008258458100,100000004035925100,100000008619159100",Кластер по составу ролей: coordinator 100%; гипотеза — преобладает coordinator
59,106,0,6254194.67,"100000005473151100,100000008545727100,100000007998965100,100000001927599100,100000001169666100,100000008714412100,100000001650895100,100000008335401100,100000008571243100,100000001490461100","Кластер по составу ролей: coordinator 58%, peripheral 30%, terminal 8%; гипотеза — преобладает coordinator"
60,31,0,8282505.0,"100000001303311100,100000001887715100,100000008743913100,100000008758168100,100000002748532100,100000007229557100,100000008710843100,100000008759857100,100000001141268100,100000008761219100",Кластер по составу ролей: coordinator 100%; гипотеза — преобладает coordinator
61,11,0,3784703.0,"100000002175422100,100000003004487100,100000001317336100,100000005042822100,100000003557488100,100000000733940100,100000002975437100,100000002710570100,100000002212494100,100000003696422100",Кластер по составу ролей: coordinator 100%; гипотеза — преобладает coordinator
62,51,0,13990812.0,"100000001282143100,100000008512827100,100000002956769100,100000008742053100,100000002443664100,100000003031003100,100000002559089100,100000001538095100,100000002712416100,100000001584286100","Кластер по составу ролей: terminal 41%, coordinator 35%, peripheral 22%; гипотеза — преобладает terminal"
63,120,0,4465650.0,"100000002578405100,100000008493007100,100000004292885100,100000001632325100,100000008712827100,100000008718811100,100000008776420100,100000008712991100,100000002305007100,100000007303047100","Кластер по составу ролей: terminal 92%, peripheral 7%, distributor 1%; гипотеза — преобладает terminal"
64,26,0,2990118.0,"100000008546855100,100000003854444100,100000001690558100,100000001049200100,100000002799941100,100000008647905100,100000003873332100,100000008676812100,100000004451012100,100000001688676100",Кластер по составу ролей: coordinator 100%; гипотеза — преобладает coordinator
65,15,0,850450.0,"100000001526235100,100000002472632100,100000005505655100,100000001788284100,100000000860514100,100000007811950100,100000002984403100,100000002708624100,100000000404740100,100000000926766100",Кластер по составу ролей: coordinator 100%; гипотеза — преобладает coordinator
66,3,0,553830.0,"100000003321895100,100000003692843100,100000002371892100",Кластер по составу ролей: coordinator 100%; гипотеза — преобладает coordinator
67,56,3,13397542.0,"100000001732159100,100000008637537100,100000003404627100,100000001253557100,100000002547110100,100000008314203100,100000008547844100,100000008232832100,100000008466579100,100000003589877100",Кластер по составу ролей: coordinator 100%; гипотеза — преобладает coordinator
68,5,0,172000.0,"100000004659919100,100000005031696100,100000002700161100,100000001223977100,100000008461217100",Кластер по составу ролей: coordinator 100%; гипотеза — преобладает coordinator
69,7,0,1268308.0,"100000008011159100,100000006169033100,100000006232642100,100000003664994100,100000005754335100,100000003888527100,100000006573438100",Кластер по составу ролей: coordinator 100%; гипотеза — преобладает coordinator
70,7,0,1765600.0,"100000007392365100,100000007865484100,100000008551752100,100000003631015100,100000004976946100,100000005745873100,100000006351075100",Кластер по составу ролей: coordinator 100%; гипотеза — преобладает coordinator
71,4,0,1595700.0,"100000001052945100,100000001131403100,100000004616845100,100000005146665100",Кластер по составу ролей: coordinator 100%; гипотеза — преобладает coordinator
72,20,0,617900.0,"100000002448088100,100000003154105100,100000006308406100,100000001427082100,100000000723383100,100000002185328100,100000006257675100,100000004777215100,100000002478829100,100000002723674100",Кластер по составу ролей: coordinator 100%; гипотеза — преобладает coordinator
73,74,0,16548311.0,"100000002718366100,100000002849158100,100000002883402100,100000002369874100,100000003157679100,100000004997515100,100000008752616100,100000002793881100,100000001875239100,100000002945626100","Кластер по составу ролей: coordinator 96%, distributor 4%; гипотеза — преобладает coordinator"
74,4,0,332709.0,"100000002513028100,100000004610802100,100000002516862100,100000004780083100",Кластер по составу ролей: coordinator 100%; гипотеза — преобладает coordinator
75,6,0,2540000.0,"100000004717647100,100000004479404100,100000002922000100,100000002659103100,100000001533161100,100000004584730100",Кластер по составу ролей: coordinator 100%; гипотеза — преобладает coordinator
76,4,0,832800.0,"100000003159641100,100000008625905100,100000001065234100,100000002194320100",Кластер по составу ролей: coordinator 100%; гипотеза — преобладает coordinator
77,7,0,143000.0,"100000005911352100,100000004508696100,100000002217806100,100000004549591100,100000000507799100,100000003962994100,100000005127767100",Кластер по составу ролей: coordinator 100%; гипотеза — преобладает coordinator
78,104,0,11039673.0,"100000008603629100,100000001857829100,100000003880331100,100000005133757100,100000004679953100,100000000413678100,100000005140601100,100000002704875100,100000008739887100,100000002481974100","Кластер по составу ролей: coordinator 99%, distributor 1%; гипотеза — преобладает coordinator"
79,3,0,120000.0,"100000003221510100,100000002505277100,100000001733216100",Кластер по составу ролей: coordinator 100%; гипотеза — преобладает coordinator
80,8,0,389000.0,"100000005507142100,100000002612809100,100000001825934100,100000005264874100,100000002214207100,100000000600707100,100000004066370100,100000002130400100",Кластер по составу ролей: peripheral 100%; гипотеза — преобладает peripheral
81,5,0,338950.0,"100000004715209100,100000008190411100,100000003133045100,100000004747154100,100000001498732100",Кластер по составу ролей: coordinator 100%; гипотеза — преобладает coordinator
82,15,0,3626010.0,"100000008461532100,100000000791285100,100000006704530100,100000003122817100,100000003470579100,100000002691583100,100000001819396100,100000002404112100,100000008331280100,100000000408846100",Кластер по составу ролей: coordinator 100%; гипотеза — преобладает coordinator
83,44,0,10215968.84,"100000002605308100,100000001937767100,100000002963189100,100000001904863100,100000004905207100,100000004159526100,100000008517061100,100000002132479100,100000007953156100,100000005941908100","Кластер по составу ролей: coordinator 98%, distributor 2%; гипотеза — преобладает coordinator"
84,8,0,2473417.91,"100000004906181100,100000008175078100,100000008675322100,100000000557536100,100000008349740100,100000004911971100,100000000673915100,100000000542087100",Кластер по составу ролей: coordinator 100%; гипотеза — преобладает coordinator
85,14,0,1605604.0,"100000007382543100,100000008213966100,100000000838385100,100000003001661100,100000004407753100,100000002860934100,100000008655779100,100000000470237100,100000003001138100,100000000424935100",Кластер по составу ролей: coordinator 100%; гипотеза — преобладает coordinator
86,7,0,3077000.0,"100000002241986100,100000001053894100,100000002594214100,100000004047887100,100000001286703100,100000004070530100,100000000627521100",Кластер по составу ролей: coordinator 100%; гипотеза — преобладает coordinator
87,6,0,1563065.0,"100000004017410100,100000005519998100,100000004336312100,100000005767403100,100000003934614100,100000004856746100",Кластер по составу ролей: coordinator 100%; гипотеза — преобладает coordinator
88,9,0,1406982.0,"100000002217161100,100000001445848100,100000007647294100,100000008254576100,100000002242066100,100000000954884100,100000003006633100,100000000783406100,100000002184107100",Кластер по составу ролей: coordinator 100%; гипотеза — преобладает coordinator
89,2,0,761255.0,"100000000583220100,100000004586598100",Кластер по составу ролей: coordinator 100%; гипотеза — преобладает coordinator
90,134,1,26049950.33,"100000000331309100,100000006889963100,100000006274203100,100000006755850100,100000008747113100,100000008560717100,100000001330685100,100000008244300100,100000005409680100,100000006734214100","Кластер по составу ролей: coordinator 98%, consolidator 1%, distributor 1%; гипотеза — преобладает coordinator"
